
Year    Storms  Cat1  Cat2  Cat3  Cat4  Cat5
EP031981 CALVIN, Start: 1981-07-04 18:00:00 End: 1981-07-09 00:00:00 Duration: 4 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041981 DORA, Start: 1981-07-10 18:00:00 End: 1981-07-16 18:00:00 Duration: 6 days 0 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
EP051981 EUGENE, Start: 1981-07-16 18:00:00 End: 1981-07-21 18:00:00 Duration: 5 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061981 FERNANDA, Start: 1981-08-06 12:00:00 End: 1981-08-13 00:00:00 Duration: 6 days 12 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
EP071981 GREG, Start: 1981-08-13 06:00:00 End: 1981-08-22 18:00:00 Duration: 9 days 12 hours, Max Wind: 65 knots, Min Pressure: N/A mb, Landfalls: 0
EP081981 HILARY, Start: 1981-08-21 18:00:00 End: 1981-08-28 18:00:00 Duration: 7 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP091981 IRWIN, Start: 1981-08-27 18:00:00 End: 1981-08-31 06:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP101981 JOVA, Start: 1981-09-14 12:00:00 End: 1981-09-21 00:00:00 Duration: 6 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP111981 KNUT, Start: 1981-09-19 00:00:00 End: 1981-09-21 18:00:00 Duration: 2 days 18 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP121981 LIDIA, Start: 1981-10-06 18:00:00 End: 1981-10-08 06:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP131981 MAX, Start: 1981-10-07 18:00:00 End: 1981-10-10 18:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP141981 NORMA, Start: 1981-10-08 18:00:00 End: 1981-10-12 12:00:00 Duration: 3 days 18 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 0
EP151981 OTIS, Start: 1981-10-24 00:00:00 End: 1981-10-30 00:00:00 Duration: 6 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011982 ALETTA, Start: 1982-05-20 00:00:00 End: 1982-05-29 12:00:00 Duration: 9 days 12 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP021982 BUD, Start: 1982-06-15 12:00:00 End: 1982-06-17 12:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031982 CARLOTTA, Start: 1982-07-01 12:00:00 End: 1982-07-06 00:00:00 Duration: 4 days 12 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP041982 DANIEL, Start: 1982-07-07 00:00:00 End: 1982-07-22 18:00:00 Duration: 15 days 18 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP051982 EMILIA, Start: 1982-07-12 12:00:00 End: 1982-07-15 18:00:00 Duration: 3 days 6 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP061982 FABIO, Start: 1982-07-17 12:00:00 End: 1982-07-25 06:00:00 Duration: 7 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
EP071982 GILMA, Start: 1982-07-26 06:00:00 End: 1982-08-02 00:00:00 Duration: 6 days 18 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 0
EP081982 HECTOR, Start: 1982-07-29 00:00:00 End: 1982-08-03 06:00:00 Duration: 5 days 6 hours, Max Wind: 65 knots, Min Pressure: N/A mb, Landfalls: 0
EP091982 IVA, Start: 1982-08-01 06:00:00 End: 1982-08-08 12:00:00 Duration: 7 days 6 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP101982 JOHN, Start: 1982-08-02 12:00:00 End: 1982-08-11 00:00:00 Duration: 8 days 12 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP111982 KRISTY, Start: 1982-08-08 18:00:00 End: 1982-08-17 00:00:00 Duration: 8 days 6 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
EP121982 LANE, Start: 1982-08-08 18:00:00 End: 1982-08-15 00:00:00 Duration: 6 days 6 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP131982 MIRIAM, Start: 1982-08-30 00:00:00 End: 1982-09-06 18:00:00 Duration: 7 days 18 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
CP011982 AKONI, Start: 1982-08-30 06:00:00 End: 1982-09-02 12:00:00 Duration: 3 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP141982 NORMAN, Start: 1982-09-09 18:00:00 End: 1982-09-18 12:00:00 Duration: 8 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
CP021982 EMA, Start: 1982-09-15 18:00:00 End: 1982-09-19 00:00:00 Duration: 3 days 6 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
CP031982 HANA, Start: 1982-09-15 18:00:00 End: 1982-09-19 00:00:00 Duration: 3 days 6 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
EP151982 OLIVIA, Start: 1982-09-18 18:00:00 End: 1982-09-25 18:00:00 Duration: 7 days 0 hours, Max Wind: 125 knots, Min Pressure: N/A mb, Landfalls: 0
EP161982 PAUL, Start: 1982-09-18 18:00:00 End: 1982-09-30 06:00:00 Duration: 11 days 12 hours, Max Wind: 95 knots, Min Pressure: N/A mb, Landfalls: 0
EP171982 ROSA, Start: 1982-09-30 18:00:00 End: 1982-10-06 18:00:00 Duration: 6 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP181982 SERGIO, Start: 1982-10-14 00:00:00 End: 1982-10-23 18:00:00 Duration: 9 days 18 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 0
EP191982 TARA, Start: 1982-10-19 18:00:00 End: 1982-10-26 06:00:00 Duration: 6 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
CP041982 IWA, Start: 1982-11-19 12:00:00 End: 1982-11-25 00:00:00 Duration: 5 days 12 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
EP011983 ADOLPH, Start: 1983-05-21 00:00:00 End: 1983-05-28 12:00:00 Duration: 7 days 12 hours, Max Wind: 95 knots, Min Pressure: N/A mb, Landfalls: 0
EP021983 BARBARA, Start: 1983-06-09 00:00:00 End: 1983-06-18 06:00:00 Duration: 9 days 6 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP031983 COSME, Start: 1983-07-02 06:00:00 End: 1983-07-05 18:00:00 Duration: 3 days 12 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP041983 DALILIA, Start: 1983-07-05 18:00:00 End: 1983-07-12 00:00:00 Duration: 6 days 6 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
EP051983 ERICK, Start: 1983-07-12 06:00:00 End: 1983-07-16 18:00:00 Duration: 4 days 12 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP061983 FLOSSIE, Start: 1983-07-17 00:00:00 End: 1983-07-21 12:00:00 Duration: 4 days 12 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP071983 GIL, Start: 1983-07-23 12:00:00 End: 1983-08-05 00:00:00 Duration: 12 days 12 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
EP081983 HENRIETTE, Start: 1983-07-27 00:00:00 End: 1983-08-06 06:00:00 Duration: 10 days 6 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP091983 ISMAEL, Start: 1983-08-08 18:00:00 End: 1983-08-14 12:00:00 Duration: 5 days 18 hours, Max Wind: 85 knots, Min Pressure: N/A mb, Landfalls: 0
EP101983 JULIETTE, Start: 1983-08-24 18:00:00 End: 1983-09-01 06:00:00 Duration: 7 days 12 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP111983 KIKO, Start: 1983-08-31 06:00:00 End: 1983-09-09 00:00:00 Duration: 8 days 18 hours, Max Wind: 125 knots, Min Pressure: N/A mb, Landfalls: 0
EP121983 LORENA, Start: 1983-09-06 06:00:00 End: 1983-09-14 12:00:00 Duration: 8 days 6 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP131983 MANUEL, Start: 1983-09-12 06:00:00 End: 1983-09-20 12:00:00 Duration: 8 days 6 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP141983 NARDA, Start: 1983-09-21 00:00:00 End: 1983-10-01 00:00:00 Duration: 10 days 0 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
EP151983 OCTAVE, Start: 1983-09-27 18:00:00 End: 1983-10-02 12:00:00 Duration: 4 days 18 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP161983 PRISCILLA, Start: 1983-09-30 18:00:00 End: 1983-10-07 00:00:00 Duration: 6 days 6 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP171983 RAYMOND, Start: 1983-10-08 06:00:00 End: 1983-10-20 18:00:00 Duration: 12 days 12 hours, Max Wind: 125 knots, Min Pressure: N/A mb, Landfalls: 0
EP181983 SONIA, Start: 1983-10-09 18:00:00 End: 1983-10-14 18:00:00 Duration: 5 days 0 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
EP191983 TICO, Start: 1983-10-11 12:00:00 End: 1983-10-19 18:00:00 Duration: 8 days 6 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP201983 VELMA, Start: 1983-11-01 18:00:00 End: 1983-11-03 06:00:00 Duration: 1 days 12 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP211983 WINNIE, Start: 1983-12-04 12:00:00 End: 1983-12-07 12:00:00 Duration: 3 days 0 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
EP011984 ALMA, Start: 1984-05-17 18:00:00 End: 1984-05-21 18:00:00 Duration: 4 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP021984 BORIS, Start: 1984-05-28 18:00:00 End: 1984-06-18 00:00:00 Duration: 20 days 6 hours, Max Wind: 65 knots, Min Pressure: N/A mb, Landfalls: 0
EP031984 CRISTINA, Start: 1984-06-17 06:00:00 End: 1984-06-26 00:00:00 Duration: 8 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
EP041984 DOUGLAS, Start: 1984-06-25 00:00:00 End: 1984-07-06 18:00:00 Duration: 11 days 18 hours, Max Wind: 125 knots, Min Pressure: N/A mb, Landfalls: 0
EP051984 ELIDA, Start: 1984-06-28 00:00:00 End: 1984-07-08 18:00:00 Duration: 10 days 18 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP061984 FAUSTO, Start: 1984-07-03 12:00:00 End: 1984-07-10 00:00:00 Duration: 6 days 12 hours, Max Wind: 95 knots, Min Pressure: N/A mb, Landfalls: 0
EP071984 GENEVIEVE, Start: 1984-07-07 06:00:00 End: 1984-07-14 12:00:00 Duration: 7 days 6 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP081984 HERNAN, Start: 1984-07-27 12:00:00 End: 1984-08-01 00:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP091984 ISELLE, Start: 1984-08-03 18:00:00 End: 1984-08-12 12:00:00 Duration: 8 days 18 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP101984 JULIO, Start: 1984-08-15 00:00:00 End: 1984-08-20 12:00:00 Duration: 5 days 12 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
CP011984 KELI, Start: 1984-08-16 18:00:00 End: 1984-08-22 00:00:00 Duration: 5 days 6 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP111984 KENNA, Start: 1984-08-16 18:00:00 End: 1984-08-21 18:00:00 Duration: 5 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP121984 LALA, Start: 1984-08-23 18:00:00 End: 1984-09-02 18:00:00 Duration: 10 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP131984 LOWELL, Start: 1984-08-26 06:00:00 End: 1984-08-30 06:00:00 Duration: 4 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
CP021984 MOKE, Start: 1984-09-04 06:00:00 End: 1984-09-05 00:00:00 Duration: 0 days 18 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP141984 MARIE, Start: 1984-09-05 12:00:00 End: 1984-09-11 00:00:00 Duration: 5 days 12 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
EP151984 NORBERT, Start: 1984-09-14 18:00:00 End: 1984-09-26 06:00:00 Duration: 11 days 12 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP161984 ODILE, Start: 1984-09-17 18:00:00 End: 1984-09-23 00:00:00 Duration: 5 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
EP171984 POLO, Start: 1984-09-26 00:00:00 End: 1984-10-03 12:00:00 Duration: 7 days 12 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP181984 RACHEL, Start: 1984-10-07 18:00:00 End: 1984-10-16 12:00:00 Duration: 8 days 18 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP191984 SIMON, Start: 1984-10-31 00:00:00 End: 1984-11-08 00:00:00 Duration: 8 days 0 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP011985 ANDRES, Start: 1985-06-05 18:00:00 End: 1985-06-12 06:00:00 Duration: 6 days 12 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
EP021985 BLANCA, Start: 1985-06-06 18:00:00 End: 1985-06-16 18:00:00 Duration: 10 days 0 hours, Max Wind: 105 knots, Min Pressure: N/A mb, Landfalls: 0
EP031985 CARLOS, Start: 1985-06-07 18:00:00 End: 1985-06-10 18:00:00 Duration: 3 days 0 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP041985 DOLORES, Start: 1985-06-26 06:00:00 End: 1985-07-05 18:00:00 Duration: 9 days 12 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP051985 ENRIQUE, Start: 1985-06-27 06:00:00 End: 1985-07-05 18:00:00 Duration: 8 days 12 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP061985 FEFA, Start: 1985-07-02 12:00:00 End: 1985-07-06 18:00:00 Duration: 4 days 6 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
EP071985 GUILLERMO, Start: 1985-07-07 18:00:00 End: 1985-07-12 00:00:00 Duration: 4 days 6 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP081985 HILDA, Start: 1985-07-18 00:00:00 End: 1985-07-20 12:00:00 Duration: 2 days 12 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP091985 IGNACIO, Start: 1985-07-21 00:00:00 End: 1985-07-27 00:00:00 Duration: 6 days 0 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP101985 JIMENA, Start: 1985-07-20 00:00:00 End: 1985-07-29 00:00:00 Duration: 9 days 0 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP111985 KEVIN, Start: 1985-07-29 00:00:00 End: 1985-08-06 18:00:00 Duration: 8 days 18 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP121985 LINDA, Start: 1985-07-29 18:00:00 End: 1985-08-09 00:00:00 Duration: 10 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP131985 MARTY, Start: 1985-08-06 18:00:00 End: 1985-08-13 18:00:00 Duration: 7 days 0 hours, Max Wind: 65 knots, Min Pressure: N/A mb, Landfalls: 0
EP141985 NORA, Start: 1985-08-19 18:00:00 End: 1985-08-23 12:00:00 Duration: 3 days 18 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
EP151985 OLAF, Start: 1985-08-22 00:00:00 End: 1985-08-31 06:00:00 Duration: 9 days 6 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP161985 PAULINE, Start: 1985-08-27 18:00:00 End: 1985-09-09 18:00:00 Duration: 13 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP171985 RICK, Start: 1985-09-01 00:00:00 End: 1985-09-12 00:00:00 Duration: 11 days 0 hours, Max Wind: 125 knots, Min Pressure: N/A mb, Landfalls: 0
EP181985 SANDRA, Start: 1985-09-05 18:00:00 End: 1985-09-17 00:00:00 Duration: 11 days 6 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 0
EP191985 TERRY, Start: 1985-09-15 18:00:00 End: 1985-09-24 18:00:00 Duration: 9 days 0 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP201985 VIVIAN, Start: 1985-09-18 06:00:00 End: 1985-09-21 18:00:00 Duration: 3 days 12 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP211985 WALDO, Start: 1985-10-07 00:00:00 End: 1985-10-09 12:00:00 Duration: 2 days 12 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
CP011985 NELE, Start: 1985-10-23 18:00:00 End: 1985-10-30 06:00:00 Duration: 6 days 12 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
EP221985 XINA, Start: 1985-10-25 06:00:00 End: 1985-11-05 06:00:00 Duration: 11 days 0 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
EP011986 AGATHA, Start: 1986-05-22 00:00:00 End: 1986-05-29 12:00:00 Duration: 7 days 12 hours, Max Wind: 65 knots, Min Pressure: N/A mb, Landfalls: 0
EP021986 BLAS, Start: 1986-06-17 12:00:00 End: 1986-06-19 00:00:00 Duration: 1 days 12 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP031986 CELIA, Start: 1986-06-24 18:00:00 End: 1986-06-30 18:00:00 Duration: 6 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP041986 DARBY, Start: 1986-07-03 18:00:00 End: 1986-07-07 18:00:00 Duration: 4 days 0 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP051986 ESTELLE, Start: 1986-07-16 12:00:00 End: 1986-07-26 06:00:00 Duration: 9 days 18 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP061986 FRANK, Start: 1986-07-24 18:00:00 End: 1986-08-03 00:00:00 Duration: 9 days 6 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP071986 GEORGETTE, Start: 1986-08-03 00:00:00 End: 1986-08-04 18:00:00 Duration: 1 days 18 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP081986 HOWARD, Start: 1986-08-16 12:00:00 End: 1986-08-18 12:00:00 Duration: 2 days 0 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP091986 ISIS, Start: 1986-08-19 18:00:00 End: 1986-08-24 00:00:00 Duration: 4 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP101986 JAVIER, Start: 1986-08-20 12:00:00 End: 1986-08-31 06:00:00 Duration: 10 days 18 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP111986 KAY, Start: 1986-08-28 18:00:00 End: 1986-09-03 12:00:00 Duration: 5 days 18 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
EP121986 LESTER, Start: 1986-09-13 18:00:00 End: 1986-09-17 00:00:00 Duration: 3 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP131986 MADELINE, Start: 1986-09-15 18:00:00 End: 1986-09-22 12:00:00 Duration: 6 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
EP141986 NEWTON, Start: 1986-09-18 12:00:00 End: 1986-09-24 00:00:00 Duration: 5 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP151986 ORLENE, Start: 1986-09-21 00:00:00 End: 1986-09-25 00:00:00 Duration: 4 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
EP161986 PAINE, Start: 1986-09-28 00:00:00 End: 1986-10-02 18:00:00 Duration: 4 days 18 hours, Max Wind: 85 knots, Min Pressure: N/A mb, Landfalls: 0
EP171986 ROSLYN, Start: 1986-10-15 18:00:00 End: 1986-10-22 12:00:00 Duration: 6 days 18 hours, Max Wind: 125 knots, Min Pressure: N/A mb, Landfalls: 0
EP011987 ADRIAN, Start: 1987-06-07 18:00:00 End: 1987-06-09 12:00:00 Duration: 1 days 18 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
EP021987 BEATRIZ, Start: 1987-07-03 12:00:00 End: 1987-07-07 00:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031987 CALVIN, Start: 1987-07-05 18:00:00 End: 1987-07-10 06:00:00 Duration: 4 days 12 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP041987 DORA, Start: 1987-07-15 00:00:00 End: 1987-07-20 00:00:00 Duration: 5 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP051987 EUGENE, Start: 1987-07-22 00:00:00 End: 1987-07-26 12:00:00 Duration: 4 days 12 hours, Max Wind: 85 knots, Min Pressure: N/A mb, Landfalls: 0
EP061987 FERNANDA, Start: 1987-07-24 06:00:00 End: 1987-07-31 12:00:00 Duration: 7 days 6 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP071987 GREG, Start: 1987-07-28 00:00:00 End: 1987-08-03 18:00:00 Duration: 6 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
EP081987 HILARY, Start: 1987-07-31 18:00:00 End: 1987-08-09 06:00:00 Duration: 8 days 12 hours, Max Wind: 105 knots, Min Pressure: N/A mb, Landfalls: 0
EP091987 IRWIN, Start: 1987-08-03 18:00:00 End: 1987-08-09 06:00:00 Duration: 5 days 12 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP101987 JOVA, Start: 1987-08-13 18:00:00 End: 1987-08-22 00:00:00 Duration: 8 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
CP011987 OKA, Start: 1987-08-26 00:00:00 End: 1987-08-29 18:00:00 Duration: 3 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP111987 KNUT, Start: 1987-08-28 18:00:00 End: 1987-08-30 18:00:00 Duration: 2 days 0 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP121987 LIDIA, Start: 1987-08-29 12:00:00 End: 1987-09-03 12:00:00 Duration: 5 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP131987 MAX, Start: 1987-09-09 12:00:00 End: 1987-09-16 12:00:00 Duration: 7 days 0 hours, Max Wind: 135 knots, Min Pressure: N/A mb, Landfalls: 0
EP141987 NORMA, Start: 1987-09-14 12:00:00 End: 1987-09-20 12:00:00 Duration: 6 days 0 hours, Max Wind: 65 knots, Min Pressure: N/A mb, Landfalls: 0
EP151987 OTIS, Start: 1987-09-20 00:00:00 End: 1987-09-26 18:00:00 Duration: 6 days 18 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
CP021987 PEKE, Start: 1987-09-21 18:00:00 End: 1987-09-27 18:00:00 Duration: 6 days 0 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
EP161987 PILAR, Start: 1987-09-30 12:00:00 End: 1987-10-01 12:00:00 Duration: 1 days 0 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP171987 RAMON, Start: 1987-10-05 18:00:00 End: 1987-10-12 06:00:00 Duration: 6 days 12 hours, Max Wind: 120 knots, Min Pressure: N/A mb, Landfalls: 0
EP181987 SELMA, Start: 1987-10-27 00:00:00 End: 1987-10-31 06:00:00 Duration: 4 days 6 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP011988 ALETTA, Start: 1988-06-16 18:00:00 End: 1988-06-21 12:00:00 Duration: 4 days 18 hours, Max Wind: 60 knots, Min Pressure: 992 mb, Landfalls: 0
EP021988 BUD, Start: 1988-06-20 18:00:00 End: 1988-06-22 18:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: 1000 mb, Landfalls: 0
EP031988 CARLOTTA, Start: 1988-07-08 18:00:00 End: 1988-07-15 12:00:00 Duration: 6 days 18 hours, Max Wind: 65 knots, Min Pressure: 994 mb, Landfalls: 0
EP041988 DANIEL, Start: 1988-07-19 12:00:00 End: 1988-07-26 18:00:00 Duration: 7 days 6 hours, Max Wind: 55 knots, Min Pressure: 994 mb, Landfalls: 0
EP051988 EMILIA, Start: 1988-07-27 18:00:00 End: 1988-08-02 18:00:00 Duration: 6 days 0 hours, Max Wind: 60 knots, Min Pressure: 992 mb, Landfalls: 0
EP061988 FABIO, Start: 1988-07-28 18:00:00 End: 1988-08-09 18:00:00 Duration: 12 days 0 hours, Max Wind: 120 knots, Min Pressure: 943 mb, Landfalls: 0
EP071988 GILMA, Start: 1988-07-28 12:00:00 End: 1988-08-03 12:00:00 Duration: 6 days 0 hours, Max Wind: 45 knots, Min Pressure: 1000 mb, Landfalls: 0
EP081988 HECTOR, Start: 1988-07-30 18:00:00 End: 1988-08-09 18:00:00 Duration: 10 days 0 hours, Max Wind: 125 knots, Min Pressure: 935 mb, Landfalls: 0
EP091988 IVA, Start: 1988-08-05 00:00:00 End: 1988-08-13 18:00:00 Duration: 8 days 18 hours, Max Wind: 90 knots, Min Pressure: 968 mb, Landfalls: 0
EP101988 JOHN, Start: 1988-08-16 18:00:00 End: 1988-08-21 06:00:00 Duration: 4 days 12 hours, Max Wind: 35 knots, Min Pressure: 1004 mb, Landfalls: 0
CP011988 ULEKI, Start: 1988-08-28 18:00:00 End: 1988-09-13 06:00:00 Duration: 15 days 12 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 0
EP111988 KRISTY, Start: 1988-08-29 00:00:00 End: 1988-09-06 12:00:00 Duration: 8 days 12 hours, Max Wind: 80 knots, Min Pressure: 976 mb, Landfalls: 0
CP021988 WILA, Start: 1988-09-21 00:00:00 End: 1988-09-25 18:00:00 Duration: 4 days 18 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP121988 LANE, Start: 1988-09-21 06:00:00 End: 1988-09-30 12:00:00 Duration: 9 days 6 hours, Max Wind: 90 knots, Min Pressure: 970 mb, Landfalls: 0
